iter	Passed	Remaining
0	167	166990
1	175	87407
2	185	61657
3	196	48920
4	205	40976
5	218	36198
6	229	32510
7	237	29498
8	248	27360
9	258	25598
10	268	24176
11	279	23002
12	289	22003
13	299	21117
14	310	20380
15	320	19689
16	330	19119
17	340	18563
18	350	18077
19	360	17654
20	369	17213
21	379	16890
22	389	16530
23	398	16221
24	409	15973
25	419	15720
26	429	15490
27	441	15323
28	453	15169
29	464	15013
30	475	14850
31	485	14672
32	493	14474
33	503	14311
34	512	14132
35	523	14009
36	534	13915
37	546	13828
38	557	13736
39	566	13604
40	577	13506
41	586	13376
42	595	13264
43	608	13219
44	618	13128
45	629	13047
46	638	12941
47	650	12897
48	662	12853
49	672	12780
50	685	12763
51	697	12723
52	709	12683
53	720	12629
54	730	12555
55	738	12450
56	745	12336
57	751	12213
58	759	12115
59	767	12022
60	777	11964
61	786	11902
62	796	11845
63	805	11776
64	813	11702
65	823	11649
66	831	11582
67	842	11548
68	853	11520
69	864	11482
70	874	11442
71	883	11392
72	894	11356
73	904	11315
74	913	11263
75	924	11234
76	932	11180
77	943	11148
78	953	11116
79	963	11078
80	973	11048
81	981	10990
82	992	10961
83	1002	10935
84	1012	10896
85	1021	10858
86	1032	10831
87	1042	10804
88	1053	10778
89	1062	10744
90	1074	10734
91	1085	10710
92	1093	10661
93	1102	10623
94	1109	10572
95	1119	10542
96	1126	10486
97	1135	10454
98	1143	10410
99	1151	10367
100	1159	10323
101	1169	10299
102	1178	10266
103	1189	10245
104	1198	10219
105	1207	10187
106	1217	10162
107	1226	10132
108	1237	10117
109	1247	10096
110	1257	10071
111	1267	10051
112	1276	10021
113	1286	9998
114	1295	9967
115	1304	9940
116	1313	9911
117	1322	9882
118	1332	9861
119	1339	9825
120	1350	9811
121	1359	9785
122	1369	9762
123	1379	9748
124	1388	9718
125	1398	9699
126	1407	9674
127	1417	9654
128	1425	9627
129	1435	9608
130	1447	9602
131	1458	9590
132	1470	9585
133	1481	9574
134	1490	9551
135	1500	9534
136	1510	9513
137	1520	9497
138	1529	9476
139	1538	9451
140	1548	9435
141	1558	9414
142	1568	9402
143	1579	9391
144	1586	9353
145	1594	9327
146	1603	9301
147	1614	9291
148	1622	9269
149	1634	9261
150	1645	9249
151	1653	9225
152	1665	9218
153	1675	9204
154	1684	9185
155	1694	9170
156	1704	9151
157	1713	9129
158	1721	9107
159	1731	9091
160	1742	9079
161	1751	9059
162	1761	9046
163	1772	9033
164	1782	9018
165	1791	9002
166	1802	8988
167	1812	8978
168	1823	8967
169	1832	8946
170	1844	8943
171	1853	8920
172	1862	8901
173	1868	8869
174	1876	8846
175	1884	8821
176	1893	8802
177	1902	8783
178	1912	8770
179	1921	8754
180	1929	8728
181	1938	8711
182	1945	8687
183	1955	8674
184	1964	8656
185	1975	8644
186	1984	8629
187	1993	8610
188	2003	8597
189	2011	8574
190	2022	8566
191	2033	8556
192	2042	8541
193	2053	8529
194	2060	8506
195	2068	8485
196	2074	8456
197	2081	8432
198	2091	8416
199	2101	8406
200	2110	8389
201	2119	8374
202	2128	8358
